wsa	psScoreMax	direction
ACAT1?	0.562121	0
AKT1?	2.18904	0
ATR?	0.799362	0
B4DK78? CHRNA4?	0.737407	0
B4DK78? CHRNA4? CHRNB2?	0.749611	0
CACNA1H?	0.0645711	0
CCKAR?	0.265015	0
CCL2?	1.17445	0
CCR2? CCR2?	0.377358	0
CHRFAM7A? CHRNA7?	0.734737	0
CNR1? CNR1?	0.380953	0
CNR2?	0.375146	0
CRHR1? CRHR1? CRHR1? CRHR1?	0.139528	0
CTSS?	0.315075	0
CXCR2?	0.373763	0
DRD2? DRD3? HTR6?	0.388005	0
EDNRA?	0.290493	0
EGFR?	2.05578	0
ELANE?	0.0486808	0
ESR1? ESR1? ESR2? Q9UBT1?	0.849908	0
ESR2?	0.17441	0
FGFR1? FGFR2? FGFR2? FGFR3? FGFR3?	1.88141	0
FLT1? FLT4? KDR?	1.78878	0
GABBR1? GABBR2? Q59HG8?	0.544397	0
GABRA2? GABRA3?	0.680038	0
GCK?	0.0900501	0
GCKR?	0.0900501	0
GHSR?	0.236864	0
GRIN2A? GRIN2B?	0.224275	0
GRM2? Q86YG3?	0.394643	0
HRH1? HRH3? HRH3?	0.378049	0
HRH3? HRH3?	0.378049	0
HSD11B1?	0.0483765	0
HTR1B?	0.379017	0
HTR2A? HTR2C? K9J958?	0.240163	0
HTR4?	0.142236	0
HTR7?	0.142236	0
IL18?	0.465731	0
KCNN4?	0.0232398	0
MCHR1?	0.375975	0
MMP12? MMP9?	0.384063	0
MMP2?	0.18932	0
MPO?	0.0467335	0
MTOR?	1.68354	0
NOS2?	0.216165	0
OPRD1?	0.374592	0
OPRL1? Q8IXB0?	0.376252	0
P2RX7?	0.469961	0
PDE5A?	0.108793	0
PGR?	0.280152	0
PPARA?	0.177671	0
PPARA? PPARG? PPARG?	0.255255	0
PTGDR2?	0.373348	0
SLC6A9?	0.0377194	0
SRC?	0.850505	0
STAT3?	0.682552	0
TACR3?	0.264901	0
TRPV1?	0.00790705	0
WEE1?	0.766389	0