wsa	prMax
ACAT1?	2.76821e-05
AKT1?	0.0237453
ALOX5?	0.000209233
ATR?	0.0222683
B4DK78? CHRNA4?	6.99707e-06
B4DK78? CHRNA4? CHRNB2?	6.99707e-06
CACNA1H?	0
CCKAR?	6.82397e-05
CCL2?	0.00239723
CCR2? CCR2?	0.000225359
CHRFAM7A? CHRNA7?	2.24737e-06
CNR1? CNR1?	9.09509e-05
CNR2?	3.49618e-05
CRHR1? CRHR1? CRHR1? CRHR1?	5.36942e-05
CTSS?	0.000128044
CXCR2?	0.000373315
DRD2? DRD3? HTR6?	0.000221278
EDNRA?	0.00100144
EGFR?	0.0212672
ELANE?	0.000225766
ESR1? ESR1? ESR2? Q9UBT1?	0.00342576
ESR2?	0.00131654
FGFR1? FGFR2? FGFR2? FGFR3? FGFR3?	0.021335
FLT1? FLT4? KDR?	0.0213997
GABBR1? GABBR2? Q59HG8?	3.55552e-05
GABRA2? GABRA3?	0
GCK?	0.000128205
GCKR?	2.56393e-05
GHSR?	6.58569e-05
GRIN2A? GRIN2B?	0.000292362
GRM2? Q86YG3?	5.4678e-05
GUCA2B?	0
HRH1? HRH3? HRH3?	6.3268e-05
HRH3? HRH3?	3.49249e-05
HSD11B1?	4.22429e-05
HTR1B?	3.49212e-05
HTR2A? HTR2C? K9J958?	6.51343e-05
HTR4?	4.50757e-05
HTR7?	7.52823e-05
IL18?	0.00183392
KCNN4?	0
MCHR1?	9.89882e-05
MMP12? MMP9?	0.00385212
MMP2?	0.00249481
MPO?	0.00103301
MTOR?	0.0221268
NOS2?	0.0170998
OPRD1?	3.49032e-05
OPRL1? Q8IXB0?	3.57041e-05
P2RX7?	0
PDE5A?	0
PGR?	0.00119417
PIM1? PIM1? PIM2? PIM3?	0.0157876
PPARA?	0.00176417
PPARA? PPARG? PPARG?	0.00176417
PTGDR2?	3.483e-05
SLC6A9?	0
SRC?	0.0261668
STAT3?	0.0139091
TACR3?	6.8301e-05
TRPV1?	0.00033807
WEE1?	0.0196506