wsa	directbg	directbgnormed	directpval
ACAT1?	0.7087	0.0466	1
AKT1?	0.32255	-0.32255	0
ALOX5?	0.681275	0.051675	1
ATR?	0.620525	0.112175	1
B4DK78? CHRNA4?	0.738425	0.085075	1
B4DK78? CHRNA4? CHRNB2?	0.77405	0.04945	1
CACNA1H?	0.374425	0.389625	1
CCKAR?	0.733275	0.003725	1
CCL2?	0.62695	0.0707	1
CCR2? CCR2?	0.8107	-0.15945	0
CHRFAM7A? CHRNA7?	0.8573	-0.1267	0
CNR1? CNR1?	0.68725	-0.0869	0
CNR2?	0.421275	-0.421275	0
CRHR1? CRHR1? CRHR1? CRHR1?	0.861575	-0.280875	0
CTSS?	0.8343	-0.07575	0
CXCR2?	0.432325	-0.432325	0
DRD2? DRD3? HTR6?	0.75775	-0.0434	0
EDNRA?	0.6066	-0.0565	0
EGFR?	0.3261	0.26715	1
ELANE?	0	0.57835	1
ESR1? ESR1? ESR2? Q9UBT1?	0.821525	0.010775	1
ESR2?	0.632425	0.128775	1
FGFR1? FGFR2? FGFR2? FGFR3? FGFR3?	0.840525	-0.146175	0
FLT1? FLT4? KDR?	0.66955	0.22175	1
GABBR1? GABBR2? Q59HG8?	0.8808	0.02675	1
GABRA2? GABRA3?	0.632425	0.221425	1
GCK?	0.702675	0.099025	1
GCKR?	0.6831	-0.05675	0
GHSR?	0.448925	-0.448925	0
GRIN2A? GRIN2B?	0.83845	-0.0527	0
GRM2? Q86YG3?	0.8056	-0.0334	0
GUCA2B?	0.735425	0.093375	1
HRH1? HRH3? HRH3?	0.70425	0.2238	1
HRH3? HRH3?	0.70425	0.2238	1
HSD11B1?	0.88185	-0.1199	0
HTR1B?	0.784275	-0.091475	0
HTR2A? HTR2C? K9J958?	0.754625	-0.030025	0
HTR4?	0	0.7705	1
HTR7?	0.37655	-0.37655	0
IL18?	0.677775	-0.025575	0
KCNN4?	0.801075	-0.052325	0
MCHR1?	0.80955	-0.08175	0
MMP12? MMP9?	0.7214	0.1797	1
MMP2?	0.323675	0.245625	1
MPO?	0.65935	-0.65935	0
MTOR?	0.323675	0.530375	1
NOS2?	0.688775	0.190375	1
OPRD1?	0.792775	0.167375	1
OPRL1? Q8IXB0?	0.877475	-0.066675	0
P2RX7?	0.6317	0.2805	1
PDE5A?	0.654925	0.090575	1
PGR?	0.675175	0.180075	1
PIM1? PIM1? PIM2? PIM3?	0.8838	-0.16345	0
PPARA?	0.795425	-0.150125	0
PPARA? PPARG? PPARG?	0.795425	-0.150125	0
PTGDR2?	0.765025	-0.765025	0
SLC6A9?	0.6933	-0.0817	0
SRC?	0.732575	-0.020125	0
STAT3?	0.74885	-0.02845	0
TACR3?	0.7097	-0.0537	0
TRPV1?	0.398675	0.379225	1
WEE1?	0.412225	0.181675	1