wsa	direct	indirect	direction	pathkey
ACAT1?	0.7553	0.893367	0	MOA_ACAT1?
AKT1?	0	0.973733	0	MOA_AKT1?
ALOX5?	0.73295	0.936433	0	MOA_ALOX5?
ATR?	0.7327	0.941433	0	MOA_ATR?
B4DK78? CHRNA4?	0.8235	0.7944	0	MOA_B4DK78?_CHRNA4?
B4DK78? CHRNA4? CHRNB2?	0.8235	0.864	0	MOA_B4DK78?_CHRNA4?_CHRNB2?
CACNA1H?	0.76405	0	0	MOA_CACNA1H?
CCKAR?	0.737	0.787867	0	MOA_CCKAR?
CCL2?	0.69765	0.902267	0	MOA_CCL2?
CCR2? CCR2?	0.65125	0.940767	0	MOA_CCR2?_CCR2?
CHRFAM7A? CHRNA7?	0.7306	0.856333	0	MOA_CHRFAM7A?_CHRNA7?
CNR1? CNR1?	0.60035	0.9461	0	MOA_CNR1?_CNR1?
CNR2?	0	0.9471	0	MOA_CNR2?
CRHR1? CRHR1? CRHR1? CRHR1?	0.5807	0.824	0	MOA_CRHR1?_CRHR1?_CRHR1?_CRHR1?
CTSS?	0.75855	0	0	MOA_CTSS?
CXCR2?	0	0.940433	0	MOA_CXCR2?
DRD2? DRD3? HTR6?	0.71435	0.942767	0	MOA_DRD2?_DRD3?_HTR6?
EDNRA?	0.5501	0.812333	0	MOA_EDNRA?
EGFR?	0.59325	0.9913	0	MOA_EGFR?
ELANE?	0.57835	0	0	MOA_ELANE?
ESR1? ESR1? ESR2? Q9UBT1?	0.8323	0.906733	0	MOA_ESR1?_ESR1?_ESR2?_Q9UBT1?
ESR2?	0.7612	0.867533	0	MOA_ESR2?
FGFR1? FGFR2? FGFR2? FGFR3? FGFR3?	0.69435	0.974433	0	MOA_FGFR1?_FGFR2?_FGFR2?_FGFR3?_FGFR3?
FLT1? FLT4? KDR?	0.8913	0.934533	0	MOA_FLT1?_FLT4?_KDR?
GABBR1? GABBR2? Q59HG8?	0.90755	0.940767	0	MOA_GABBR1?_GABBR2?_Q59HG8?
GABRA2? GABRA3?	0.85385	0	0	MOA_GABRA2?_GABRA3?
GCK?	0.8017	0.746233	0	MOA_GCK?
GCKR?	0.62635	0.863133	0	MOA_GCKR?
GHSR?	0	0.814433	0	MOA_GHSR?
GRIN2A? GRIN2B?	0.78575	0.879967	0	MOA_GRIN2A?_GRIN2B?
GRM2? Q86YG3?	0.7722	0.941767	0	MOA_GRM2?_Q86YG3?
GUCA2B?	0.8288	0	0	MOA_GUCA2B?
HRH1? HRH3? HRH3?	0.92805	0.940767	0	MOA_HRH1?_HRH3?_HRH3?
HRH3? HRH3?	0.92805	0.940767	0	MOA_HRH3?_HRH3?
HSD11B1?	0.76195	0	0	MOA_HSD11B1?
HTR1B?	0.6928	0.9411	0	MOA_HTR1B?
HTR2A? HTR2C? K9J958?	0.7246	0.794333	0	MOA_HTR2A?_HTR2C?_K9J958?
HTR4?	0.7705	0.697467	0	MOA_HTR4?
HTR7?	0	0.82	0	MOA_HTR7?
IL18?	0.6522	0.901967	0	MOA_IL18?
KCNN4?	0.74875	0	0	MOA_KCNN4?
MCHR1?	0.7278	0.940767	0	MOA_MCHR1?
MMP12? MMP9?	0.9011	0.8567	0	MOA_MMP12?_MMP9?
MMP2?	0.5693	0.9024	0	MOA_MMP2?
MPO?	0	0.705567	0	MOA_MPO?
MTOR?	0.85405	0.973667	0	MOA_MTOR?
NOS2?	0.87915	0.850267	0	MOA_NOS2?
OPRD1?	0.96015	0.919367	0	MOA_OPRD1?
OPRL1? Q8IXB0?	0.8108	0.940433	0	MOA_OPRL1?_Q8IXB0?
P2RX7?	0.9122	0	0	MOA_P2RX7?
PDE5A?	0.7455	0	0	MOA_PDE5A?
PGR?	0.85525	0.873533	0	MOA_PGR?
PIM1? PIM1? PIM2? PIM3?	0.72035	0.698	0	MOA_PIM1?_PIM1?_PIM2?_PIM3?
PPARA?	0.6453	0.894433	0	MOA_PPARA?
PPARA? PPARG? PPARG?	0.6453	0.940933	0	MOA_PPARA?_PPARG?_PPARG?
PTGDR2?	0	0.940433	0	MOA_PTGDR2?
SLC6A9?	0.6116	0	0	MOA_SLC6A9?
SRC?	0.71245	0.927233	0	MOA_SRC?
STAT3?	0.7204	0.919	0	MOA_STAT3?
TACR3?	0.656	0.9413	0	MOA_TACR3?
TRPV1?	0.7779	0.700567	0	MOA_TRPV1?
WEE1?	0.5939	0.935767	0	MOA_WEE1?