uniprot	ev	dir	fold
A0A024R2Q0	0.3025	-1	0.0464
A0A024R9X9	0.1614	1	0.0349
A0A024RD25	0.3828	-1	0.1597
A0A0A6YYA8	0.4612	1	0.146
A0A125SXW3	0.6646	1	0.0658
A0A1U6XTF7	0.1614	1	0.0349
B4DK78	0.647	-1	0.1613
E9PFX5	0.01294	-1	0.003
K9J956	0.1614	1	0.0349
K9J958	0.4492	-1	0.0724
O00141	0.02404	-1	0.0179
O00268	0.0657	1	0.0191
O00311	0.5324	1	0.3223
O00329	0.3376	1	0.0731
O00763	0.5173	1	0.3192
O14543	0.3172	-1	0.0928
O14746	0.2516	-1	0.0451
O14757	0.6514	1	0.5378
O14786	0.7382	-1	0.6802
O14944	0.5745	-1	0.1313
O15254	0.5386	-1	0.1084
O15520	0.5912	1	0.1134
O15530	0.2945	-1	0.0433
O15554	0.4975	1	0.0809
O43524	0.08137	-1	0.0168
O43915	0.04728	1	0.0175
O60258	0.422	-1	0.1036
O60343	0.1624	-1	0.0956
O60346	0.5354	-1	0.0745
O60462	0.3616	1	0.4186
O60671	0.2853	1	0.0977
O60674	0.1966	1	0.0653
O60716	0.3955	-1	0.1039
O60921	0.1315	-1	0.035
O75376	0.19	1	0.0561
O75385	0.2902	-1	0.0699
O75419	0.6367	1	0.7507
O75899	0.8151	-1	1.325
O76074	0.491	1	0.4048
O95180	0.5281	-1	0.1806
O95256	0.6882	-1	0.1418
O95998	0.01574	-1	0.0041
O96017	0.2504	1	0.1409
P00533	0.1865	-1	0.0887
P00747	0.3506	1	0.2413
P00749	0.5862	-1	0.7354
P01033	0.2161	-1	0.0837
P01100	0.3609	-1	0.5066
P01106	0.4559	-1	0.4201
P01111	0.09512	1	0.0146
P01112	0.4483	-1	0.0863
P01116	0.3907	-1	0.1621
P01133	0.02819	1	0.0174
P01135	0.202	-1	0.2618
P01189	0.294	-1	0.0486
P01236	0.1741	-1	0.0349
P01308	0.3231	1	0.0512
P01350	0.3823	1	0.1036
P01579	0.7209	-1	0.2149
P01584	0.1045	-1	0.0198
P02775	0.1717	1	0.0327
P03372	0.6646	1	0.0658
P04155	0.1459	1	0.0202
P04626	0.2473	1	0.2508
P04637	0.06406	1	0.0158
P05019	0.6775	-1	0.1384
P05164	0.07475	-1	0.0125
P05230	0.4275	-1	0.5815
P05231	0.1237	1	0.0211
P05305	0.0676	-1	0.0186
P05412	0.5	-1	0.3861
P06239	0.3803	-1	0.0711
P06241	0.2714	-1	0.1566
P06307	0.2801	1	0.0663
P06401	0.7105	-1	0.1663
P06493	0.7387	1	0.5907
P06730	0.1269	-1	0.0254
P06744	0.1566	-1	0.0395
P06850	0.295	-1	0.0506
P07900	0.0009812	1	0.0002
P07948	0.284	1	0.1092
P08069	0.5438	-1	0.3131
P08246	0.1567	-1	0.0291
P08253	0.1386	-1	0.1169
P08620	0.2364	-1	0.0388
P08670	0.1542	1	0.0765
P08887	0.3232	1	0.0611
P09038	0.3725	-1	0.1432
P09341	0.4375	-1	0.0671
P09917	0.4659	1	0.0757
P0DP23	0.5548	1	0.1251
P10145	0.06609	1	0.0111
P10275	0.3746	1	0.1704
P10415	0.6569	1	0.1719
P10767	0.2582	-1	0.0419
P11309	0.3828	-1	0.1597
P11310	0.6405	1	0.1666
P11362	0.1456	-1	0.035
P11487	0.7472	-1	0.1784
P12034	0.6107	1	0.1347
P12830	0.4469	-1	0.0769
P12931	0.4249	-1	0.1121
P13500	0.3953	1	0.5391
P14138	0.453	-1	0.1009
P14416	0.3338	-1	0.3074
P14635	0.3905	1	0.3752
P14780	0.8022	-1	0.1693
P15090	0.8388	-1	0.2035
P15311	0.02645	-1	0.0204
P15692	0.2735	-1	0.3028
P15927	0.5874	1	0.2284
P16035	0.08155	-1	0.053
P16070	0.5821	-1	0.8154
P16104	0.09463	1	0.0508
P16219	0.5744	1	0.1308
P16220	0.2799	1	0.0489
P16671	0.04414	1	0.0081
P17787	0.4095	1	0.1287
P17948	0.7448	-1	0.1501
P18031	0.6239	-1	0.1673
P18206	0.2947	-1	0.2254
P19174	0.6448	-1	0.1606
P19838	0.488	1	0.1872
P20226	0.2642	-1	0.0495
P20248	0.5947	1	0.612
P20292	0.8143	-1	0.2147
P20366	0.8369	-1	0.175
P21554	0.2007	-1	0.1385
P21675	0.5062	-1	0.1279
P21781	0.9263	-1	0.4596
P21802	0.1737	-1	0.0983
P21860	0.1732	-1	0.0684
P22607	0.3887	1	0.1858
P22681	0.2132	-1	0.0363
P23443	0.2906	-1	0.0871
P23458	0.3383	-1	0.2006
P24385	0.4898	1	0.3814
P24752	0.5106	1	0.1997
P24941	0.5552	1	0.3819
P25025	0.03118	-1	0.0052
P25101	0.1002	-1	0.0747
P25774	0.5171	1	0.2135
P25963	0.2084	-1	0.0663
P27361	0.1297	1	0.0263
P27694	0.8303	1	0.347
P28222	0.3856	1	0.0646
P28223	0.03916	1	0.0142
P28335	0.4492	-1	0.0724
P28482	0.1945	1	0.059
P28845	0.5239	-1	0.1114
P29353	0.3067	-1	0.0933
P29371	0.312	-1	0.0562
P29466	0.671	1	0.3862
P29474	0.4265	1	0.0751
P29597	0.07715	1	0.0287
P30291	0.1878	1	0.0451
P30304	0.688	1	0.7035
P30307	0.4339	1	0.5618
P30613	0.1609	1	0.0298
P31371	0.09863	1	0.0731
P31749	0.0766	1	0.0164
P31751	0.2978	-1	0.0696
P32238	0.474	1	0.0939
P33151	0.06914	-1	0.1857
P34903	0.5943	1	1.104
P34969	0.02508	1	0.0038
P34972	0.07934	-1	0.0143
P34998	0.1614	1	0.0349
P35070	0.1676	1	0.032
P35222	0.359	1	0.0669
P35225	0.01369	-1	0.0026
P35228	0.7583	1	1.02
P35269	0.6089	-1	0.1212
P35367	0.02492	1	0.0175
P35462	0.4287	1	0.065
P35557	0.6034	-1	0.1273
P35568	0.2646	-1	0.1514
P35625	0.01811	-1	0.0317
P35916	0.3042	-1	0.0455
P35968	0.7826	-1	2.2
P36544	0.4612	1	0.146
P37231	0.01294	-1	0.003
P38398	0.7382	1	0.6735
P38936	0.1395	-1	0.1256
P39060	0.002023	1	0.0004
P39900	0.6729	-1	0.1589
P40763	0.4408	-1	0.2927
P40939	0.6496	-1	0.1279
P41143	0.9203	1	0.3867
P41146	0.6216	-1	0.1456
P41159	0.2496	1	0.068
P41597	0.3025	-1	0.0464
P42336	0.09293	-1	0.0354
P42338	0.3733	1	0.1381
P42345	0.7081	1	0.1585
P42566	0.6849	-1	0.4247
P42830	0.1191	1	0.0244
P43351	0.4268	-1	0.0982
P43681	0.647	-1	0.1613
P45954	0.1523	1	0.0676
P46108	0.19	1	0.0483
P46527	0.9272	-1	0.4685
P47869	0.7077	1	1.669
P48067	0.2232	-1	0.2176
P48357	0.2034	-1	0.0599
P48552	0.01083	-1	0.0047
P48736	0.5991	-1	0.125
P49023	0.5126	1	0.0993
P49763	0.8046	-1	0.4079
P49765	0.04554	1	0.0144
P49815	0.6318	1	0.1344
P49848	0.0398	-1	0.0103
P49959	0.4977	1	0.2371
P50406	0.08381	-1	0.0207
P51681	0.7208	-1	0.1478
P52333	0.3749	-1	0.0861
P52799	0.4977	-1	0.4318
P54132	0.04245	1	0.0191
P54868	0.04726	1	0.0076
P55075	0.7426	-1	0.2006
P55211	0.05909	-1	0.0109
P55809	0.4816	-1	0.0927
P56945	0.01051	1	0.0046
P60953	0.5438	1	0.1704
P61586	0.4131	1	0.0618
P62942	0.02406	1	0.0035
P62993	0.4347	-1	0.1681
P63244	0.7957	-1	0.1577
P78396	0.8233	-1	0.3634
P78527	0.2349	1	0.1942
P98177	0.463	-1	0.0965
Q00403	0.4652	-1	0.129
Q01581	0.6851	1	0.4033
Q02297	0.7949	-1	1.064
Q03135	0.5546	-1	0.8412
Q05586	0.6489	1	0.1347
Q06124	0.1607	-1	0.0302
Q06609	0.7775	1	0.9159
Q07666	0.4772	-1	0.0941
Q07817	0.1586	-1	0.0587
Q07820	0.3556	1	0.1575
Q07869	0.2906	-1	0.1432
Q07889	0.1797	-1	0.0635
Q08426	0.05263	-1	0.0243
Q0IJ44	0.3887	1	0.1858
Q12778	0.08771	-1	0.023
Q12879	0.1438	-1	0.0831
Q12962	0.1106	1	0.0443
Q13131	0.124	-1	0.0411
Q13191	0.5544	-1	0.3335
Q13224	0.5715	-1	0.5127
Q13315	0.07116	1	0.0212
Q13418	0.112	-1	0.0421
Q13478	0.01648	-1	0.0028
Q13519	0.0005289	-1	0.0001
Q13535	0.4654	1	0.1485
Q13541	0.9174	-1	0.6659
Q13542	0.3909	1	0.1287
Q13639	0.541	-1	0.449
Q14116	0.3044	-1	0.061
Q14191	0.006735	1	0.0016
Q14247	0.7486	-1	0.2448
Q14397	0.2527	-1	0.0442
Q14416	0.5444	1	0.1717
Q15067	0.1817	-1	0.0682
Q15119	0.06422	1	0.0262
Q15542	0.542	1	0.1194
Q15543	0.2512	-1	0.0689
Q15544	0.5047	-1	0.0822
Q15545	0.6871	-1	0.2341
Q15596	0.5245	-1	0.1394
Q15700	0.2969	1	0.0922
Q15788	0.3171	1	0.1023
Q15848	0.5955	1	0.137
Q16514	0.6555	1	0.2052
Q16552	0.5288	-1	0.0959
Q16594	0.6295	-1	0.162
Q16661	0.6576	-1	0.132
Q16665	0.2223	-1	0.0959
Q16836	0.362	1	0.1282
Q16873	0.4522	-1	0.0906
Q59HG8	0.3418	1	0.2474
Q5VZM2	0.04223	-1	0.0226
Q6BDS2	0.857	-1	0.5407
Q6P1X5	0.2066	-1	0.0598
Q6R327	0.5118	-1	0.2446
Q7Z7C8	0.5156	1	0.1072
Q86V86	0.374	-1	0.0702
Q8IXB0	0.6216	-1	0.1456
Q8IYD8	0.5145	1	0.2408
Q8N122	0.6593	-1	0.2569
Q8NER1	0.5558	1	0.1546
Q8TB45	0.935	-1	0.2513
Q92547	0.7293	1	0.3835
Q92574	0.00306	1	0.001
Q92625	0.194	1	0.0599
Q92731	0.5224	-1	0.0973
Q92750	0.2327	-1	0.1832
Q92796	0.1187	1	0.0415
Q92847	0.05035	-1	0.0089
Q92934	0.1299	1	0.0187
Q96B36	0.3999	-1	0.1718
Q99075	0.9819	-1	1.103
Q99572	0.8244	1	0.6747
Q99638	0.1098	1	0.0178
Q99705	0.4556	-1	0.1749
Q9BPZ7	0.5449	-1	0.1638
Q9BVC4	0.1594	1	0.0546
Q9BYC2	0.2447	-1	0.0423
Q9GZV9	0.2876	-1	0.0671
Q9HB90	0.07705	1	0.0253
Q9NPF7	0.3836	1	0.0628
Q9NRY4	0.4436	1	0.0902
Q9P1W9	0.4407	1	0.0949
Q9UBK2	0.6219	-1	0.7127
Q9UBS0	0.6153	-1	0.1324
Q9UBS5	0.3418	1	0.2474
Q9UBT1	0.6646	1	0.0658
Q9UBU3	0.4473	-1	0.0667
Q9UHF0	0.7133	1	0.1437
Q9UQ84	0.8234	1	1.059
Q9Y243	0.7992	1	0.3157
Q9Y2T6	0.4218	-1	0.0976
Q9Y5N1	0.8561	-1	0.2003
Q9Y5Y4	0.09611	-1	0.0194
Q9Y618	0.2288	-1	0.1475
Q9Y6Q9	0.609	-1	0.2892
S4R381	0.1737	-1	0.0983
V5KA96	0.2007	-1	0.1385